COMPANY,STREET,CITY,STATE,ZIPPOSTAL_CODE,PHONE,TOLLFREE,FAX,EMAIL,WEBSITE,ULTIMATE_PARENT_NAME1,ULTIMATE_PARENT_CITY1,ULTIMATE_PARENT_STATE1,DIRECT_REPORTAGE_NAME1,FAMILY_ROLE1,NAME1,EMAIL1,TITLE2,NAME2,EMAIL2,TITLE3,NAME3,EMAIL3,TITLE4,NAME4,EMAIL4,TITLE5,NAME5,EMAIL5,TITLE6,NAME6,EMAIL6,TITLE7,NAME7,EMAIL7,TITLE8,NAME8,EMAIL8,TITLE9,NAME9,EMAIL9,TITLE10,NAME10,EMAIL10,BUSINESS_DESCRIPTION,YEAR_FOUNDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TITLE131,NAME131,EMAIL131,TITLE132,NAME132,EMAIL132,TITLE133,NAME133,EMAIL133,TITLE134,NAME134,EMAIL134,TITLE135,NAME135,EMAIL135,TITLE136,NAME136,EMAIL136,TITLE137,NAME137,EMAIL137,TITLE138,NAME138,EMAIL138,TITLE139,NAME139,EMAIL139,TITLE140,NAME140,EMAIL140,TITLE141,NAME141,EMAIL141,TITLE142,NAME142,EMAIL142,TITLE143,NAME143,EMAIL143,TITLE144,NAME144,EMAIL144,TITLE145,NAME145,EMAIL145,TITLE146,NAME146,EMAIL146,TITLE147,NAME147,EMAIL147,TITLE148,NAME148,EMAIL148,TITLE149,NAME149,EMAIL149,DIRECT_REPORTAGE_NAME3,FAMILY_ROLE3
"EBSCO Industries, Inc.",5724 Hwy 280 E,Birmingham,AL,35242-6818,(205) 991-6600,,(205) 991-1164,,www.ebscoind.com,"EBSCO Industries, Inc.",Birmingham,AL,,,Bryson  Stephens,Bryson.Stephens@ebscoind.com,Grp Pres-Promotional Products Grp,Matthew  Carrington,mcarrington@ebsco.com,"Grp Pres-EBSCO Income Properties, EBSCO Realty & Mt Laurel",Jay Page,Jay.Page@ebscoind.com,CEO,David  Walker,David.Walker@ebscoind.com,CIO,Mike Gorrell,Mike.Gorrell@ebscoind.com,Pres-S.S. Nesbitt & Co. Inc.,Paul  Barber,Paul.Barber@ebscoind.com,Pres-Info Svcs,Tim  Collins,Tim.Collins@ebscoind.com,Publr-Rels & Strategic Partnerships & Exec VP-Mktg & Sls,Sam Brooks,Sam.Brooks@ebscoind.com,Exec VP-Product Mgmt & Customer Satisfaction EIS,Stratton Lloyd,Stratton.Lloyd@ebscoind.com,Sr VP-Content Plng,John Atkins,John.Atkins@ebscoind.com,"EBSCO Industries, Inc. has more than 40 diversified business interests. The company offers information services, manufacturing, business to business, publishing services, and many others. EBSCO is a subscription agent providing libraries and research centers with online and print journal subscription services, electronic resource access and management services, electronic full-text and secondary database development and access, and related information services. It maintains a title database of about 300,000 title listings and upholds relationships with more than 78,000 serial publishers around the world. The company's publishing sector owns and operates EBSCOhost, the for-fee online research service for universities, public libraries and K-12 schools. Headquartered in Birmingham, AL, and founded in 1943, the company employs about 6,200 people.",1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EJF Capital LLC,2107 Wilson Blvd Ste 410,Arlington,VA,22201-3042,(703) 875-9121,,,,www.ejfcap.com,,,,,,Asheel  Shah,,Chief Compliance Officer,Frank R. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EagleBank,7815 Woodmont Ave,Bethesda,MD,20814,(240) 497-2044,,(301) 986-8529,bethesdabranch@eaglebankcorp.com,www.eaglebankcorp.com,"Eagle Bancorp, Inc.",Bethesda,MD,"Eagle Bancorp, Inc.",Subsidiary,Norman Robert Pozez,NPozez@eaglebankmd.com,Chief Credit Officer & Exec VP,Janice L. Williams,JWilliams@eaglebankmd.com,Chief Comml Real Estate Lending Officer & Exec VP,Antonio F. Marquez,AMarquez@eaglebankmd.com,Chief Comml & Industrial Lending Officer & Exec VP,Lindsey S. Rheaume,lrheaume@eaglebankmd.com,,,,,,,,,,,,,,,,,,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East LA Community Corporation,530 S Boyle Ave,Los Angeles,CA,90033,(323) 269-4214,,(323) 261-1065,,www.elacc.org,,,,,,"Alfred Fraijo, Jr.",,Pres,Maria Cabildo,mcabildo@elacc.org,Treas,Lynn Hansen,,Sec,Alfredo Izmajtovich,,VP-Ops,Isela Gracian,igracian@elacc.org,VP-Real Estate & Asset Mgmt,Alejandro Martinez,amartinez@elacc.org,Dir-Fin,Peter Chu,pchu@elacc.org,Dir-Community Organizing,Mike Dennis,mdennis@elacc.org,Dir-Real Estate Dev,Ernesto Espinoza,eespinoza@elacc.org,Dir-Special Intiatives,Ami Pascual Spear,aspear@elacc.org,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Texas Professional Credit Union,409 E Loop 281,Longview,TX,75605,(903) 323-0230,(800) 256-5009,(903) 323-0280,memberservices@etpcu.org,www.etpcu.org,,,,,,William Byron Norton,,Sr VP & Mgr-Lending Ops,John  Griffin,,Sr VP & Mgr-Ops,Scot Haines,,Sr VP & Mgr-Acctg Dept,Deborah Pearce,,VP & Branch Mgr-Ops,Sandy  Krell,,VP & Mgr-Teller Dept,Greg Jeffery,,VP & Mgr-Real Estate,Flip  Kraus,,VP & Mgr-Indirect Lending Dept,Doug  Martin,,VP-Member Bus Lending,Gregory Gani,,VP-IT,Kevin  Wasson,,"East Texas Professional Credit Union was founded in 1953 and is headquartered in Longview, TX. The company is engaged in the provision of banking services. It offers checking and savings accounts, individual retirement accounts, money markets, credit cards, and others. The company's lending portfolio includes auto loans, mortgage loans, consumer loans, and other loans. It also provides safe deposit boxes, overdraft services, insurances, internet banking, and others. The company also operates in Carthage, Gilmer, Henderson, Marshall, and other cities. As stated in the company's current annual report it had FYE 12/31/2017 revenue of $29.6 million and has 253 employees.",1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eastdil Secured, LLC",40 W 57th St 22nd Fl,New York,NY,10019-4001,(212) 315-7200,,(212) 315-3602,info@eastdil.com,www.eastdilsecured.com,Temasek Holdings (Private) Limited,Singapore,,Temasek Holdings (Private) Limited,Holding,Benjamin V. Lambert,blambert@eastdilsecured.com,Pres,D. Michael Van Konynenburg,,CEO,Roy Hilton March,rmarch@eastdilsecured.com,Mng Dir,J. Philip Brosseau,,Mng Dir,Ryan  Reid,,Mng Dir-Capital Markets & Real Estate Sls,Gary  Phillips,,,,,,,,,,,,,,,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Bank,265 Franklin St,Boston,MA,2110,(617) 897-1008,,(617) 897-1105,info@easternbk.com,www.easternbank.com,Eastern Bank Corporation,Boston,MA,Eastern Bank Corporation,Subsidiary,Robert F. Rivers,,Vice Chm & Pres,Quincy  Miller,,Vice Chm & Chief Comml Banking Officer,Jan A. Miller,,Chief Credit Officer & Exec VP,Daniel J. Sullivan,,Chief Mktg & Comm Officer,Paul  Alexander,,Exec VP,Joseph F. Riley,,Exec VP-HR,Nancy Huntington Stager,,Sr VP & Reg Head-Comml Banking Grp,Gregory P. Buscone,,Sr VP & Controller,David A. Ahlquist,,Sr VP & Mgr-Comml Real Estate Relationship,William  Suglia,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echelon Real Estate Services LLC,235 3rd St S Ste 300,Saint Petersburg,FL,33701,(727) 803-8222,,(727) 803-8203,info@echelonre.com,www.eresproprieties.com,,,,,,Susan Glatthorn Johnson,sjohnson@echelonre.com,Exec VP,Michael Talmadge,MTalmadge@echelonre.com,Dir-Property Mgmt Svcs,Lisa Garcia,lgarcia@echelonre.com,,,,,,,,,,,,,,,,,,,,,,"Established in 1987, Echelon Real Estate Services, LLC. is based in St. Petersburg, FL. It is a real estate development firm. The company deals with brokerage and asset, property, and facilities management services. It develops and manages commercial offices, industrial buildings, waterfront and warehouse space, and multi-family residential properties throughout the southeast and southwest United States. The company serves the residential and commercial sectors.",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economic Development Corp.,10 Petticoat Ln Ste 250,Kansas City,MO,64106,(816) 221-0636,,,,www.edckc.com,,,,,,Bob  Langenkamp,,Sr VP-Bus & Real Estate Dev,Gregory  Flisram,,,,,,,,,,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Education Realty Trust, Inc.",999 S Shady Grove Rd Ste 600,Memphis,TN,38120,(901) 259-2500,,(901) 259-2547,,www.EdRTrust.com,"Greystar Real Estate Partners, LLC",Charleston,SC,"Greystar Real Estate Partners, LLC",Subsidiary,Christine D. Richards,crichards@edrtrust.com,CTO & Sr VP-Strategic Bus Dev,Scott P. Casey,,Chief Acctg Officer & Sr VP,Lindsey  Mackie,,"Gen Counsel, Sec & Sr VP",Liz  Keough,,Sr VP-Acquisitions & Dev,Scott  Barton,,Sr VP-Construction & Engrg Svcs,Bob Earwood,,Sr VP-Ops,Matthew S. Fulton,,Sr VP-Capital Markets & IR,J. Drew Koester,,Chief Info Sys Officer & Sr VP,Randy Schnoor,,Sr VP-Western Dev,Steve  Schnoor,,"Headquartered in Memphis, TN, Education Realty Trust, Inc. is a real estate investment trust. The trust develops, acquires, owns, and manages student housing communities. It operates in three segments: Collegiate Housing Leasing, Development Consulting Services, and Management Services. The trust also provides management services for collegiate housing communities owned by educational institutions, charitable foundations, trusts, and others. It also offers residence life and student development, marketing, leasing administration, information systems, and accounting services. The trust owns 70 collegiate housing communities located in 24 states. According to the company's current 10K government filing it had FYE 12/31/2017 revenue of $331 million and has 1,265 employees.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Edwin Watts Golf Shops, LLC",20 Hill Ave,Fort Walton Beach,FL,32548,(850) 244-2066,(800) 874-0146,(850) 244-5217,service_team@wattsgolf.com,www.edwinwatts.com,"Sun Capital Partners, Inc.",Boca Raton,FL,"Sun Capital Partners, Inc.",Holding,Bill  Grigsby,bgrigsby@rdgolf.com,VP-Retail Ops,John Kopacz,jkopacz@rdgolf.com,"VP-Mktg, Adv, Catalog & Online",Benn McCallisper,bmccallisper@rdgolf.com,VP-Pur & Inventory,Rick Powell,rpowell@rdgolf.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eide Bailly LLP,4310 17th Ave SW,Fargo,ND,58103,(701) 239-8500,(888) 777-9552,(701) 239-8600,,www.eidebailly.com,Eide Bailly LLP,Fargo,ND,,,David L. Stende,dstende@eidebailly.com,Chief Practice Officer-South Central Reg,Tom  Goekeler,TGoekeler@eidebailly.com,Partner & Dir-Wealth Transition Svcs,Ramona K. Johnson,rjohnson@eidebailly.com,Partner,Pam J. Eggert,PEggert@eidebailly.com,Partner,Corey M. Enger,cenger@eidebailly.com,Partner,Amber  Ferrie,aferrie@eidebailly.com,Partner,David  Glennon,dglennon@eidebailly.com,Partner-Minneapolis,Ann  Glenz,AGlenz@eidebailly.com,Partner,Christopher  Gracey,CGracey@eidebailly.com,Partner,Renee  Gravalin,rgravalin@eidebailly.com,"Eide Bailly LLP. is headquartered in Fargo, ND. It is a public accounting and business advisory company. The company's services include employee benefits, enterprise risk management, technology consulting, wealth management, and forensic & valuation. It operates 21 offices in ten states. The company serves the manufacturing, oil & gas, real estate, construction, insurance, and other industries. The company employs 1,200 people.",1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elkins Kalt Weintraub Reuben Gartside LLP,2049 Century Park E Ste 2700,Los Angeles,CA,90067,(310) 746-4400,,(310) 746-4499,info@elkinskalt.com,www.elkinskalt.com,,,,,,David A. Alvarado,dalvarado@elkinskalt.com,Partner & Atty,Keith D. Elkins,kelkins@elkinskalt.com,Partner-Real Estate & Finance & Atty,Raymond I. Friedman,rfriedman@elkinskalt.com,Partner & Atty,Frederick W. Gartside,fgartside@elkinskalt.com,Partner & Atty,Scott M. Kalt,skalt@elkinskalt.com,Partner & Atty,David A. Levine,dlevine@elkinskalt.com,Partner & Atty,Thomas R. Levy,tlevy@elkinskalt.com,Partner-Real Estate Practice,David A. Swartz,dswartz@elkinskalt.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Empire State Realty Trust, Inc.",111 W 33rd St 12th Fl,New York,NY,10120,(212) 687-8700,,,,www.empirestaterealtytrust.com,"Empire State Realty Trust, Inc.",New York,NY,,,Anthony E. Malkin,,Pres & COO,John B. Kessler,,Acting CFO & Chief Acctg Officer,Andrew J. Prentice,,"Gen Counsel, Sec & Exec VP","Thomas N. Keltner, Jr.",,Exec VP-Real Estate,Thomas P. Durels,,Sr VP & Dir-Leasing,Ryan  Kass,,Sr VP,Jeffrey H. Newman,,Sr VP,Fred C. Posniak,,,,,,,,"Established in 2011 and headquartered in New York, NY, Empire State Realty Trust, Inc. (NYSE: ESRT) is a real estate investment trust. The trust owns, manages, operates, acquires, and repositions office and retail properties in Manhattan and the New York metropolitan area. It has 14 office properties encompassing 9.4 million rentable square feet of office space. The company segment includes all activities related to the ownership, management, operation, acquisition, repositioning and disposition of our real estate assets. According to the company's current 10K government filing, it had FYE 12/31/2018 revenue of $731.5 million and has 813 employees.",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
