Company Name,Address(Dallas based),Phone number,Website,Activity,Description,Orbis URL
DALLAS THEATER CENTER,"3636 TURTLE CREEK BLVD, FL 2",+1 214 522 8499,www.dallastheatercenter.org,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/49
CLARIDGE POINTE APARTMENTS,8350 PARK LN,+1 214 369 7080,www.claridgepointeapts.com,"Corporate, Property Services","Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/84
KIRTLAND REALTY GROUP,"2828 ROUTH ST, STE 500",+1 972 421 3300,www.kirtlandrecords.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/50
TRUE WORLD FOODS DALLAS LLC,8919 GOVERNORS ROW,+1 214 887 8009,www.trueworldfoods.com,"Corporate, Property Services","Private 
The Global Ultimate Owner of this controlled subsidiary is FAMILY FEDERATION FOR WORLD PEACE & UNIFICATION",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/19
HOVER LANDSCAPE INC,11350 LUNA RD,+1 972 869 3492,www.hooverlandscape.com,"Corporate, Property Services","Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/44
ZALE PROPERTIES INC,"8333 DOUGLAS AVE, STE 1500",+1 214 987 9001,www.newcastlehomes.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/39
VILLA DEL MAR RESTAURANT,1702 SINGLETON BLVD,+1 214 573 7974,www.carnesymariscosvilladelmar.com/2018,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/33
DALLAS PT 717 NORTH HARWOOD ST OFFICE LI,717 N HARWOOD ST,+1 214 953 0310,null,"Corporate, Property Services","Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/93
TUSCANY,4808 WINDWARD PSGE,+1 210 545 4050,www.thealleyonbitters.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/51
CHAMPION PARTNERS LTD,8401 N CENTRAL EXPY,+1 972 490 5600,www.championpartners.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/68
TOMLINSON-LEIS CORP,1919 S SHILOH RD,+1 972 840 8808,www.tomleis.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/89
EBBY HALLIDAY REALTORS INC,4455 SIGMA RD,+1 972 980 6600,www.cindyruppert.com,"Corporate, Property Services","Private 
The Global Ultimate Owner of this controlled subsidiary is BERKSHIRE HATHAWAY INC.",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/8
PRINCETON COURT APARTMENTS,6121 MELODY LN,+1 214 691 1822,www.princetoncourtapartmenthomes.com,"Corporate, Property Services","Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/90
REGIS PROPERTY MANAGEMENT,600 LAS COLINAS BLVD E,+1 972 869 0044,www.regisinc.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/14
THE WESTIN IRVING CONVENTION CENTER,400 LAS COLINAS BLVD W,+1 972 505 2900,www.marriott.com,"Corporate, Property Services","Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/54
MOHR PARTNERS INC,"14643 DALLAS PKWY, STE 1000",+1 972 239 0394,www.mohrpartners.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/63
SUMMER BEND,1301 MEADOW CREEK DR,+1 972 751 0280,www.summerbendapts.com,"Corporate, Property Services","Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/99
SKYLINE PROPERTIES INC,5630 DYER ST,+1 214 750 8300,www.skylinepropertiesinc.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/75
SOWELL & CO INC,"1601 ELM ST, STE 300",+1 214 871 3320,www.sowellco.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/40
THR PROPERTY MANAGEMENT LP,901 MAIN ST,null,null,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/82
GAEDEKE HOLDINGS LTD,3710 RAWLINS ST,+1 972 404 1636,www.gaedeke.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/28
MATTITOS,"13650 T I BLVD, STE 301",+1 214 217 5780,www.mattitos.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/52
RESIDENTIAL GROUP,14850 MONTFORT DR,+1 972 386 7998,www.gomortgage.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/18
MERIDIAN REALTY ADVISORS LP,3811 TURTLE CREEK BLVD,+1 214 651 4000,www.meridiancap.com,"Corporate, Property Services","Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/24
REAL FOUNDATIONS INC,"14135 MIDWAY RD, STE 100",+1 214 292 7000,www.realfoundations.net,Foundation/Research institute,"Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/83
CBRE GWS LLC,"2100 ROSS AVE, STE 1500",+1 214 438 8717,www.cbre.us,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/42
SORRENTO,8616 TURTLE CREEK BLVD,+1 214 369 3400,www.daveperrymiller.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/27
HOLT LUNSFORD COMMERCIAL INC,5055 KELLER SPRINGS RD,+1 972 308 9682,www.holtlunsford.com,"Corporate, Property Services","Private 
The Global Ultimate Owner of this controlled subsidiary is LUNSFORD HOLT RICHARD",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/17
PROVENANCE PROPERTIES LLC,4301 WINDSOR PKWY,+1 214 418 0602,www.provenancebuilders.com,"Corporate, Property Services","Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/37
CAMDEN BUCKINGHAM APARTMENT,430 BUCKINGHAM RD,+1 972 234 4183,www.camdenliving.com,"Corporate, Property Services","Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/81
ENCORE ENTERPRISES INC,5005 LYNDON B JOHNSON FWY,+1 214 259 7000,www.encore.bz,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/9
TRINSIC RESIDENTIAL GROUP LP,5227 MORNINGSIDE AVE,+1 214 693 1674,trinsicresidential.com,"Corporate, Property Services","Private 
The Global Ultimate Owner of this controlled subsidiary is TRINSIC RESIDENTIAL BUILDERS LLC",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/97
HEIGHTS AT PARK LANE,8066 PARK LN,+1 214 278 6116,www.theheightsatparklane.com,"Corporate, Property Services","Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/88
DEER CREEK APARTMENTS INC,11615 FOREST CENTRAL DR,null,null,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/76
SPRING VALLEY CENTER LLP,5220 SPRING VALLEY RD,+1 972 532 6535,www.springvalleycenter.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/55
HILLBURN HILLS APARTMENT,2603 HILLBURN DR,+1 214 388 4848,www.hillburnhills.com,"Corporate, Property Services","Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/73
AVALON VILLAS,4447 RAINIER ST,+1 972 256 3377,www.avalonvillas-apts.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/77
SUNCHASE SQUARE APARTMENTS,7317 HOLLY HILL DR,+1 214 691 1482,www.dmasunchasesquare.com,"Corporate, Property Services","Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/66
CENCOR REALTY SERVICES INC,"3102 MAPLE AVE, STE 500",+1 214 954 0300,www.weitzmangroup.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/10
PACE REALTY INC,5429 LYNDON B JOHNSON FWY,+1 972 387 9100,www.pacerealty.com,"Corporate, Property Services","Private 
The Global Ultimate Owner of this controlled subsidiary is MR EDWARD DUCOFF",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/20
PELOTON COMMERCIAL REAL ESTATE,"901 MAIN ST, STE 4200",+1 214 220 0600,www.pelotoncre.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/69
ALTON MANAGEMENT CORP,5530 ALTON AVE,+1 214 823 2970,www.altonmanagementcorp.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/74
PEGASUS ABLON SERVICES LLC,8222 DOUGLAS AVE,+1 214 303 1653,www.pegasusablon.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/62
GE REAL ESTATE,"600 LAS COLINAS BLVD E, STE 2100",+1 972 444 2144,gecapitalrealestate.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/71
LAKESIDE SQUARE,12377 MERIT DR,+1 972 934 7930,www.equityoffice.com,"Corporate, Property Services","Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/53
TRINSIC RESIDENTIAL BUILDERS LLC,"8235 DOUGLAS AVE, STE 950",+1 214 462 7190,www.trinsicresidential.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/70
SOUTHSTAR COMMUNITIES LLC,"6060 N CENTRAL EXPY, STE 138",+1 972 850 3074,www.southstarcommunities.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/100
DUNHILL PARTNERS INC,3100 MONTICELLO AVE,+1 214 373 7500,www.dunhillpartners.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/23
SUN VALLEY PARTNERS LTD,1845 WOODALL RODGERS FWY,+1 214 871 2400,null,"Corporate, Property Services","Private 
The Global Ultimate Owner of this controlled subsidiary is SUN VALLEY LTD",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/41
TCJ REALTY HOLDINGS LLC,4641 NALL RD,www.tcjventures.com,null,"Corporate, Property Services","Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/95
CENTURY PRODUCTS,2901 BELMEADE DR,+1 972 416 1080,centuryproductsllc.com,"Corporate, Property Services","Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/48
ORDA C,15400 KNOLL TRAIL DR,+1 972 960 0627,www.orda.org,"Corporate, Property Services","Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/56
PARMENTER REALTY PARTNERS,"12750 MERIT DR, STE 225",+1 972 308 9931,www.parmco.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/31
CAMELOT SERVICES INC,15950 DALLAS PKWY,+1 972 361 8050,www.camelotservices.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/34
